Method,Exact Acc. (%),Lenient Acc. (%),Correct / 200,Avg Tokens,Token Red. (%),Latency (s),Δ vs Full SST
LLaVA Image + Question,55.5,56.5,111/200,—,—,5.74,1.0
Full SST,54.5,58.5,109/200,441.44,0.0,6.62,0.0
Caption-Style SST,53.0,58.5,106/200,443.96,-0.57,6.77,-1.5
Keyword-Aware SST,50.0,57.0,100/200,215.53,51.18,2.12,-4.5
Compact Keyword-Aware SST,41.0,52.0,82/200,175.1,60.33,3.47,-13.5
No-Relations SST,43.0,43.0,86/200,153.79,65.16,2.59,-11.5
No-Attributes SST,40.0,43.0,80/200,403.84,8.52,5.88,-14.5
Objects-Only SST,22.5,24.0,45/200,106.24,75.93,2.89,-32.0
